にとって;"Đối với
日本にとって、これは大きな問題です。"
について;"Về
この本について説明してください。"
によれば;"Theo... / Dựa vào
天気によれば、今日は雨です。"
によって;"Được bởi
法律によって決められています。"
に~れる;"Bị (ai đó/ cái gì đó)
彼に叱られた。"
に比べて;"So với
兄に比べて背が高い。"
にしても;"Cho dù
雨にしても、行きます。"
にしては;"Vậy mà
初心者にしては上手です。"
の;"Việc (danh từ)
旅行ののは楽しい。"
おかげで;"Nhờ vào/ nhờ có
先生のおかげで合格しました。"
っぱなし;"Để nguyên, giữ nguyên
電気をつけっぱなしにしないでください。"
っぽい;"Giống như là
彼は子供っぽい性格です。"
らしい;"Cảm thấy như là... / giống như là
この家は新しいらしい。"
れる;"Bị/ được (bị động)
本が読まれる。"
さ;"Độ (danh từ)…
この山の高さは3776メートルだ。"
さえ;"Ngay cả.../thậm chí
子供でさえ分かります。"
最中に;"Đúng lúc đang, ngay giữa lúc đang
食事の最中に電話が鳴った。"
せいで;"Vì/do
雨のせいで試合が中止になった。"
せいぜい;"Tối đa/ nhiều lắm cũng chỉ
多くてもせいぜい5人です。"
せてください;"Có thể cho phép tôi ~ làm gì
ここに座らせてください。"
しばらく;"Một lúc/ trong một thời gian
しばらくお待ちください。"
しかない;"Chỉ có thể
行くしかない。"
その結果;"Kết quả là
その結果、売上が上がった。"
そのために;"Vì thế/do đó
そのために遅れました。"
その上;"Thêm vào đó/hơn nữa
雨が降った。その上、風も強い。"
それと;"Và/vẫn còn
ペンそれとノートをください。"
それとも;"Hay là/hoặc là
紅茶にしますか。それともコーヒーにしますか。"
すでに;"Đã...rồi
彼はすでに出発しました。"
少しも~ない;"Một chút cũng không
少しも分からない。"
たところ;"Sau khi thử làm
駅に着いたところです。"
たとたんに;"Vừa mới (làm gì) thì…
家に帰ったとたんに雨が降り出した。"
たびに;"Mỗi khi, mỗi lần
旅行のたびに写真を撮ります。"
確かに;"Chắc chắn/Không sai chính xác là như vậy
それは確かに事実です。"
たて;"Mới...xong
作りたてのパンはおいしい。"
たとえ~ても;"Giả sử/thậm chí là...thì cũng
たとえ雨でも行きます。"
例えば;"Ví dụ như/chẳng hạn như
例えばこのペンです。"
て初めて;"Làm gì đó thì bắt đầu
留学して初めて日本語の難しさが分かった。"
てほしい;"Muốn (ai đó) làm gì
私はあなたに会ってほしい。"
て済む;"Chỉ tốn (có)/giải quyết xong (chỉ bằng)/chỉ cần... là xong
1000円で済む。"
的;"Mang tính/ mang tính chất/về mặt…
技術的な問題"
