旅客,りょきゃく 「LỮ KHÁCH」 lữ khách. hành khách,
各々,おのおの「CÁC」 từng cái,
有効,"ゆうこう「HỮU HIỆU」 hữu hiệu, có thời hạn","このカードが有効期限は１年です。
cái thẻ này có thời hạn sử dụng 1 năm."
スポット,spot - Điểm cụ thể trong thời gian,"時間のスポット – thời điểm cụ thể
例: このスポットでニュースが始まります。
→ ""Bản tin sẽ bắt đầu vào thời điểm này."""
前回,ぜんかい「TIỀN HỒI」 Lần trước.,前回 ->今回 ->次回.
元に,もとに「NGUYÊN」 をもとに：dựa trên,入力された検索条件を元に
設置,せっち「THIẾT TRÍ」 sự lắp đặt,"1. bố trí, lắp đặt
オフィスに新たしい印刷機械を設置されています。
trong văn phòng có trang bị (bố trí) 1 cái máy in mới
2. bố trí (dùng cho con người)
この問題について、検討する委員会を設置した。
chúng tôi đã bố trí người uỷ viên mới để"
シングルクリック,Single click,1 lần click
開港,かいこう「KHAI CẢNG」 Mở cảng;,
緯度,いど「VĨ ĐỘ」 Vĩ độ,緯度経度 (いどけいど) vĩ độ và kinh độ
経度,けいど「KINH ĐỘ」 kinh độ,緯度経度 (いどけいど) vĩ độ và kinh độ
方位,ほうい「PHƯƠNG VỊ」 Phương hướng (mũi tên bản đồ),
正値,せいち「CHÁNH TRỊ」 Giá trị dương (+),
方角,ほうがく「PHƯƠNG GIÁC」 ◆ Phương hướng; phương giác.,
標高,ひょうこう「TIÊU CAO」 độ cao tính từ mặt nước biển,
就航,"しゅうこう「TỰU HÀNG」 đi vào hoạt động, khai thác (dùng cho tàu bè, máy bay)",
自衛隊,じえいたい「TỰ VỆ ĐỘI」 ◆ Đội tự vệ; đội phòng vệ,
管轄,かんかつ「QUẢN HẠT」 ◆ Sự quản hạt,
直近,ちょっきん「TRỰC CẬN」 ◆ Gần đây nhất,
よって,"◆ Bởi vậy, cho nên, vì thế, vậy thì",
改訂,かいてい「CẢI ĐÍNH」 ◆ Sự đính chính; sự sửa đổi,
記す,きす「KÍ」 ghi ghép lại,
スクリプト,script,
追跡,"ついせき「TRUY TÍCH」 truy vết, theo dõi",
容易,ようい「DUNG DỊCH」 ◆ Đơn giản; dễ dàng,
極秘,ごくひ「CỰC BÍ」 ◆ Bí mật tuyệt đối; tuyệt mật; bí mật,
収集,しゅうしゅう「THU TẬP」 ◆ Sự thu thập; sự thu gom; sự nhặt nhạnh; thu thập.,
指針,ししん「CHỈ CHÂM」 ◆ Kim chỉ nam -,điều chỉ dẫn đường lối đúng
致命的,"ちめいてき「TRÍ MỆNH ĐÍCH」 Nghiêm trọng, chí mạng",
潜在的,せんざいてき「TIỀM TẠI ĐÍCH」 ◆ Tiềm tàng; tiềm năng,"潜在的な問題があるか
Có vấn đề tiềm tàng không"
リトライ,retry - thử lại,
チューニング,tuning - Tối ưu hóa (trong IT),
入口,いりぐち 「NHẬP KHẨU」 Lối vào,
出口,でぐち「XUẤT KHẨU」 Lối ra,
分岐,ぶんき「PHÂN KÌ」◆ Sự chia nhánh; sự phân nhánh,
加筆,"かひつ「GIA BÚT」◆ Điều chỉnh; chỉnh sửa; Sự cải tiến, làm cho tốt hơn",
集約,"しゅうやく「TẬP ƯỚC」tập hợp và tóm tắt lại, tổng kết lại",
フレームワーク系,Frameworks,
汎用,はんよう「PHIẾM DỤNG」 đa dụng (đa mục đích),
疑似,"ぎじ「NGHI TỰ」 mô phỏng, giả bộ",
取り扱い,とりあつかい「THỦ TRÁP」 ◆ Thao tác; xử lý,
除算,じょざん「TRỪ TOÁN」phép chia - sự phân chia,
極力,きょくりょく「CỰC LỰC」◆ Cực lực; tận hết khả năng; tận dụng hết sức,
排除,はいじょ「BÀI TRỪ」◆ Sự loại trừ; sự loại bỏ; sự bài trừ,
誤差,ごさ「NGỘ SOA」◆ Sai số,
精度,せいど「TINH ĐỘ」◆ Độ chính xác,
