行き先,"いきさき「HÀNH TIÊN」 nơi đến
急いでいたので、行き先を間違えてしまった。 Vì vội vàng nên tôi đã bị nhầm mất nơi đến"
往復,"おうふく「VÃNG PHỤC」 round trip, sự đi và về, khứ hồi
会社まで往復4時間かかる。 Đến cty cả đi lẫn về mất 4 tiếng
＋往復切符：おうふくきっぷ：vé khứ hồi"
片道,"かたみち「PHIẾN ĐẠO」 một chiều
東京まで新幹線で、片道１万円だ。 Đi 1 chiều bằng tàu shinkansen đến Tokyo mất 1 man"
各駅停車,"かくえきていしゃ「CÁC DỊCH ĐÌNH XA」 tàu chậm ( đỗ lại tất cả nhà ga)
時間があるときは、各駅停車に乗る。 Khi có thời gian nên tôi ngồi tàu chậm
＝各停：かくてい： các trạm"
急行,"きゅうこう「CẤP HÀNH」 tàu tốc hành
急行に乗るときは、急行に料金が必要だ。 Khi ngồi tàu tốc hành cần thêm tiền chạy tốc hành
＋特急：とっきゅう： tàu tốc hành đặc biệt
＋快速：かいそく：tàu tốc hành đặc biệt "
始発,"しはつ「THỦY PHÁT」 chạy đầu tiên, ga đầu
①この駅の始発電車は、5時半ごろだ。 
②ここは中央線の始発駅だ。
Chuyến tàu đầu tiên của gas này là khoảng 5 giờ rưỡi
Đây là ga xuất phát đầu tiên của chuyến Chuo"
終電,"しゅうでん「CHUNG ĐIỆN」 chuyến tàu cuối cùng
12時半の終電に間に合わない。 Tôi không kịp chuyến tàu cuối cùng lúc 12 giờ rưỡi"
上り,"のぼり「THƯỢNG」 lên thành phố, đi ga đầu
もうすぐ上り電車がくる。 Tàu lên thành phố sắp sửa đến"
下り,"くだり「HẠ」 đi địa phương, đi ga cuối
下りの電車に乗って、山へ行く。 Tôi ngồi tàu đi địa phương để đến núi
＋下る：くだる：to to down: đi xuống"
ジャイアール（JR),"JR (Cty đường sắt JP)
私はJRを、よく利用する。 Tôi hay sử dụng JR"
私鉄,"してつ「TƯ THIẾT」 tuyến đường sắt tư nhân
この近くに私鉄の駅はない。 Ở gần đây ko có ga tuyến đường sắt tư nhân"
経由,"けいゆ「KINH DO」 sự đi qua, quá cảnh
今日は東京駅を経由して、家に帰る.  Hôm nay tôi đi qua ga Tokyo để về nhà."
定期券,"ていきけん「ĐỊNH KÌ KHOÁN」 vé tháng
定期券は割引があるので、得だ。 Vé tháng có giảm giá nên có lợi."
有効期限,"ゆうこうきげん「HỮU HIỆU KÌ HẠN」 thời hạn, thời hạn có hiệu lực
カードの有効期限は、来月までだ。 Thời hạn của thẻ này đến tháng sau."
窓口,"まどぐち「SONG KHẨU」 quầy giao dịch
駅の窓口で、旅行の予定ができる。  Có thể đặt tour du lịch tại quầy giao dịch nhà ga"
販売,"はんばい「PHIẾN MẠI」 sự buôn bán
窓口で、記念切符を販売している。 Tại quầy giao dịch có bán vé kỷ niệm
＋あつかう： bán, có bán
＋自動販売機：じどうはんばいき： máy bán hàng tự động"
通路側,"つうろがわ「THÔNG LỘ TRẮC」 phía lối đi
新幹線では通路側に座る。 Trong tàu shinkansen tôi ngồi phía lối đi
＋通路：つうろ： lối đi
＋窓側：まどがわ： phía cửa sổ"
改札,"かいさつ「CẢI TRÁT」 soát vé, cửa soát vé
改札を出たところで待ち合わせた。 Đã hẹn gặp nhau tại chỗ ra từ cửa soát vé
＋改札口：かいさつぐち： cửa soát vé
＋自動改札：じどうかいさつ： Soát vé tự động"
指定席,"していせき「CHỈ ĐỊNH TỊCH」 ghế chỉ định
旅行の前に、指定席を予約した。 Trước khi du lịch tôi đã đặt sẵn ghế chỉ định
＋指定：してい： sự chỉ định
＋自由席：じゆうせき： ghế tự do"
車内アナウンス,"しゃないアナウンス「XA NỘI」 Phát thanh trên tàu
車内アナウンスで、携帯電話のルールを説明している。 Phát thanh trên tàu đang giải thích về qui định sử dụng ĐTDĐ"
車掌,"しゃしょう「XA CHƯỞNG」 nhân viên trên tàu, xe lơ
新幹線の車掌の制服は、かっこいい。 Đồng phục của nhân viên trên tàu shinkansen trông đẹp, ngầu"
ホーム,"sảnh chờ tàu, sân ga
ホームに、たくさんの人が並んでいる。 Nhiều người đang xếp hàng trên sảnh chờ tàu
＝プラットホーム"
線路,"せんろ「TUYẾN LỘ」 đường tàu
線路には、絶対に降りないでください。 Tuyệt đối ko được xuống đường tàu"
踏切,"ふみきり「ĐẠP THIẾT」 chỗ đường sắt cắt ngang đường bộ
あの踏切は１０分くらい開かないことがある。 Chỗ đường tàu cắt ngang đấy có khi khoảng 10p vẫn chưa mở"
乗り遅れる,"のりおくれる: trễ tàu xe
道が込んで、新幹線に乗り遅れた。 Đường đông nên tôi đã trễ tàu Shinkansen"
乗り換える,"のりかえる: chuyến tàu xe
次の駅で、地下鉄に乗り換える。 Sẽ chuyển sang tàu điện ngầm ở ga tiếp theo."
乗り越す,"のりこす「THỪA VIỆT」 đi quá ( số tiền)
乗り越したら、改札でお金を払う。 Nếu đi quá thì trả tiền ở cửa soát vé
＋乗り越し料金：のりこしりょうきん：tiền đi quá"
踏む,"ふむ「ĐẠP」 giẫm
電車のなかで、隣の人の足を踏んでしまった。 Tôi lỡ giẫm vào chân người bên cạnh trong tàu điện"
乗り過ごす,"のりすごす đi quá
電車で寝てしまって、乗り過ごした。Ngủ quên mất trên tàu nên đã đi quá."
