周知,しゅうち「CHU TRI」 ◆ Kiến thức chung; tri thức thông thường.
掲題の件,けいだいのけん「YẾT ĐỀ KIỆN」 như vấn đề đã nêu ở tiêu đề
恐れ入ります,おそれいり ◆ Cám ơn(khi dùng với cấp bậc cao trong công ty)
ずに,◆ Mà không; không làm gì đó
キャッチアップ,catch up ◆ Bắt kịp
別途,"べっと「BIỆT ĐỒ」 ◆ Đặc biệt; dự trữ đặc biệt (tài khoản), riêng
別途定める= Quy định riêng / Được quy định ở mục khác"
目途,"めど「MỤC ĐỒ」 ◆ Triển vọng
仕事の目途かった  Công việc đã ở trong tầm mắt"
タイムリー,timely sự kịp thời; sự đúng lúc.
放念,"ほうねん「PHÓNG NIỆM」 ◆ Sự không bận tâm, sự không lo lắng
ご放念ください　Xin đừng bận tâm"
軽微,"けいび「KHINH VI」 ◆ Nhẹ; nhỏ bé; không quan trọng
軽微な犯罪 : Tội nhẹ"
犯罪,はんざい「PHẠM TỘI」 phạm tội
遅延,ちえん「TRÌ DUYÊN」 ◆ Trì hoãn Bị trì hoãn không mong muốn
恐縮,"きょうしゅく「KHỦNG SÚC」 ◆ Không dám!; xin lỗi không dám! Xin hãy bỏ qua
お忙しいところ恐縮ですが,…"
離任,"りにん「LI NHÂM」 Out dự án, chuyển bộ phận,…"
払い出す,"はらいだす「PHẤT XUẤT」 đẩy ra, loại ra (hàng lỗi, hàng không đạt cần sửa lại hoặc kiểm tra lại)"
図る,"はかる「ĐỒ」 図る lập kế hoạch, sơ đồ , thiết kế"
招待状,"しょうたいじょう「CHIÊU ĐÃI TRẠNG」 ◆ Giấy mời; thiệp mời
テーブルの上の招待状、時間と場所を明確にする. Tấm thiệp mời trên bàn, thời gian địa điểm rõ ràng"
記載,きさい「KÍ TÁI」 ◆ Sự ghi chép; ghi; ghi chép
