人ごみ,"ひとごみ「NHÂN」　đám đông
人ごみの中を歩くと、ちょっと疲れる。 Hễ đi bộ trong đám đông là thấy hơi mệt"
都会,"とかい「ĐÔ HỘI」 đô thị
都会には自然が少ない。 Ở đô thị ít có khung cảnh tự nhiên"
ぶらぶら,"sự lang thang
休みの日は、一人で町をぶらぶらする。 Vào ngày nghỉ, tôi một mình đi lang thang trong thị trấn"
うろうろ,"sự lởn vởn, lảng vảng
最近、知らない人が家の前をうろうろしている。 Gần đây có người lạ đi lởn vởn trước nhà"
通りかかる,"đi qua
通りかかった店に、ちょっと入ってみた。 Tôi thử vào cửa hàng mình đi ngang qua một chút"
通り過ぎる,"とおりすぎる: đi quá rồi
スマホをみていて、学校を通り過ぎてしまった。 Mãi xem đt, tôi đã đi quá trường học rồi"
徒歩,"とほ「ĐỒ BỘ」 đi bộ
うちから駅まで、徒歩で15分くらいだ。 Từ nhà đến ga đi bộ mất 15p"
方向,"ほうこう「PHƯƠNG HƯỚNG」 hướng, phương hướng
知らない町では、方向がわからない。 Ở thành phố không quen tôi không biết phương hướng"
遠回り,"とおまわり「VIỄN HỒI」 sự đi vòng, đường tắt
時間があるから、ちょっと遠回りしてみよう。 Vì có thời gian nên tôi thử đi lòng vòng 1 chút"
近道,"ちかみち「CẬN ĐẠO」 đường tắt, sự đi tắt
駅に行く時、公園を通って近道ちた。 Khi đi ra nhà ga, tôi đi tắt qua công viên
＜＞回り道：まわりみち：đường dài"
距離,"きょり「CỰ LI」 khoảng cách, cự ly
うちから学校まで、ちょっと距離がある。 Từ nhà đến trường có chút khoảng cách xa"
追いかける,"おいかける「TRUY」 đuổi theo
女の子が犬を追いかけている。 Bé gái đuổi theo con chó"
追いつく,"おいつく「TRUY」 đuổi kịp
ちょっと走ったら、すぐに追いついた。 Chạy một chút là đuổi kipjn ngay"
追い越す,"おいこす「TRUY VIỆT」 vượt qua
前の人がゆっくり歩いていたので、追い越した。 Vì người đằng trước đi chậm rãi nên tôi vượt qua"
突き当り,"つきあたり「ĐỘT ĐƯƠNG」 cuối đường, cuối đường chữ T
この道の突き当りに病院がある Ở cuối con đường này có bệnh viện
＋突き当たる：つきあたる： đâm vào, đi hết đường"
立ち止まる,"たちどまる dừng lại
立ち止まらないで、前に進んでください。 Đừng dừng lại hãy đi tiếp"
横切る,"よこぎる「HOÀNH THIẾT」 băng qua
黒猫が道を横切った。 Con mèo đen băng qua đường"
見かける,"みかける「KIẾN」 trông thấy, bắt gặp
駅で知り合いを見かけた。 Tôi bắt gặp người quen tại nhà ga"
