模様,"もよう「MÔ DẠNG」 design, pattern , décor  / hoa văn , họa tiết
今年は、どんな模様の服がはやりですか
＋模様替え：もようがえ：thay đổi họa tiết"
特徴,"とくちょう「ĐẶC TRƯNG」 characteristic / đặc điểm , đặc trưng
彼女のデザインには、特徴がある
＋特長：とくちょう：merit / điểm nổi bật, đặc trưng"
特色,"とくしょく「ĐẶC SẮC」 feature / điểm đặc sắc
兄はいつも特色のない服装をしている。"
柄,"がら「BÍNH」 pattern / hoa văn, họa tiết
このTシャツは10種類の柄から選びます。"
花柄,"はながら「HOA BÍNH」 flower pattern / họa tiết hoa
花柄のスカートがほしい。"
水玉,"みずたま「THỦY NGỌC」 polka dot / chấm bi
この水玉のワンピースは、とてもかわいい。
＝水玉模様：みずたまもよう："
しま,"stripe / kẻ sọc
しまのシャツを着ると、やせて見える
＝しま模様"
たて,"vertical / chiều dọc
たての方向に線を書いてください
＋たてじま
＋たて書き"
横,"よこ「HOÀNH」 horizontal / chiều ngang
英語は横に書く
＋横じま: horizontal stripe / sọc ngang 
＋横書き：horizontal writing / viết ngang"
ななめ,"diagonal / đường chéo, gáo chéo ,nghiêng
このイラストは、ななめから見ると、面白い。
絵がななめにかかっている。"
幅,"はば「PHÚC」 width / bề ngang
このテーブルの幅は、９０センチだ。"
ストライプ,"stripe / kẻ sọc
細いストライプのTシャツを買った。"
無地,"むじ「VÔ ĐỊA」 plain . Trơn, ko có họa tiết
無地のシャツは、柄のスカートと合わせやすい。"
シンプルな,"simple/ đơn giản, giản dị
今日はシンプルなファッションで出かけよう。"
真っ赤な,"まっかな「CHÂN XÍCH」 completely red / đỏ rực
真っ赤な服を着て、パーティーに行った。
＋真っ白な: trắng tinh
＋真っ青な: xanh lét
+真っ黒な: đen xì"
ばらばら,"separate / scattered / lung tung, rời rạc
このシャツのボタンは、色もデザインもばらばらだ。"
スッキリ,"simple, neat / sự thanh toát, gọn gàng
かれのスーツは細目で、すっきりしている。"
素敵な,"すてきな「TỐ ĐỊCH」 wonderful, beatiful /tuyệt, đẹp
このスカーフは、とても素敵です。"
