増加,"ぞうか「TĂNG GIA」 increase / sự gia tăng, tăng lên
海外からの観光客が増加している。
Khách du lịch đến từ nước ngoài tăng lên"
減少,"げんしょう「GIẢM THIỂU」 decrease . Sự giảm thiểu, giảm đi
子供の数は、相変わらず減少している。
Số trẻ em vẫn giảm"
超える,"こえる「SIÊU」 to go over, to surpass / vượt quá
アンケートで「はい」と答えた人が、半分を超えた。
Số người trả lời Có trong phiếu thăm dò khảo sát đã vượt 1 nửa"
ピーク,"peak / đỉnh điểm, cao nhất
今日の暑さが、今年のピークと言えるだろう。
Cái nóng ngày hôm nay có thể nói là cao nhất năm nay"
越える,"こえる「VIỆT」 to pass/ qua
インフルエンザはピークを越えたようだ。
Dịch cúm dường như là đã vượt qua giai đoạn đỉnh điểm"
全体,"ぜんたい「TOÀN THỂ」 all of, entire / toàn bộ
全体の80パーセントの人が、反対だとう答えた。
80% toàn bộ số người trả lời phản đối
＋全体的な： overall / toàn bộ, tổng thể chung"
かなり,"pretty, fairly / đáng kể
かなりの人が賛成していないことがわかった。
Ta thấy rằng 1 số người đáng kể ko tán thành"
信用,"しんよう「TÍN DỤNG」  trust / sự tin tưởng
このデータは信用できる。
Dữ liệu này có thể tin tưởng được"
失う,"うしなう「THẤT」 to lost / đánh mất
彼は重要なデータを消してしまい、信用を失った。
Anh ta đã lỡ xóa mất data quan trọng nên đánh mất sự tin tưởng"
正常,"せいじょう「CHÁNH THƯỜNG」 normal / bình thường
このパソコンは正常に動いている。
Cái máy tính này hoạt động bình thường"
不景気,"ふけいき「BẤT CẢNH KHÍ」 economic crisis/ tình trạng kinh tế trì truệ
もう何年も不景気が続いている。（名）
不景気な社会を変えたい。（な形）
Tình trạng kt trì trệ kéo dài nhiều năm
Tôi muốn thay đổi xã hội kinh tế trì trệ"
円高,"えんだか「VIÊN CAO」 strong yen , đồng yên tăng giá
円高で、損をする人も得をする人もいる。
Có người bị thiệt và cũng có người được lợi từ đồng yên tăng giá
＜＞円安：えんやす：đồng yên giảm giá"
平均,"へいきん「BÌNH QUÂN」 average / bình quân
今回のテストの平均点は、75点だった。
Điểm bình quân của kỳ thi đợt này là 75 điểm
＋平均点：average score / điểm bình quân"
およそ,"approximately / khoảng, khoảng chừng
合格者は、およそ20パーセントだ。
Người khi đỗ khoảng chừng 20%"
めちゃくちゃ,"unreasonable / sự vớ vẩn, sự lung tung
この結果は、誰が見てもめちゃくちゃだ
Kết quả này ai nhìn vào cũng thấy vớ vẩn
＋むちゃくちゃ：confused / vớ vẩn, lung tung"
最も,"「もっとも」「TỐI」 most / nhất
今年、最もヒットした映画が発表された。
Năm nay bộ phim hot nhất đã được công bố"
ついに,"ultimately, finally / cuối cùng thì, mãi thì cũng
ついに、日本の人口が減り始めた。
Rồi thì dấn số của Nhật đã bắt đầu giảm"
とうとう,"finally, at last / cuối cùng thì , mãi thì cũng
とうとう、東京の平均気温が十六度を超えた。
Cuối cùng thì nhiệt độ trung bình ở Tokyo đã vượt qua 16 độ"
