商店街,"しょうてんがい「THƯƠNG ĐIẾM NHAI」 phố thương mại
駅前に大きな商店街がある。 Trước cửa ga có phố thương mại lớn"
にぎやかな,"nhộn nhịp
商店街は、たくさんの人でにぎやかだ。 Phố thương mại có nhiều người, nhộn nhịp"
高層ビル,"こうそうびる「CAO TẰNG」 tòa nhà cao tầng
この町には、高層ビルがない。 Ở thị trấn này không có toàn nhà lớn
＋高層マンション：chung cư cao tầng"
建つ,"たつ「KIẾN」 được xây, được xây dựng
川の近くに、高層マンションが建った。 Gần con sông có 1 chung cư được xây
＋（～を）建てる: xây dựng"
水族館,"すいぞくかん「THỦY TỘC QUÁN」 thủy cung
水族館は、いつも子供でいっぱいだ。 Thủy cung bao giờ cũng đông trẻ em."
博物館,"はくぶつかん「BÁC VẬT QUÁN」 bảo tàng
週末、博物館はとても込んでいる。 Cuối tuần bảo tàng rất đông"
出入口,"でいりぐち「XUẤT NHẬP KHẨU」 lối/cửa ra vào
博物館の出入口に、ポスターがはってある。Áp phích được dán ở lối ra vào ở cửa tự động lớn"
自動ドア,"じどうどあ「TỰ ĐỘNG」 cửa tự động
出入口に、大きな自動ドアがある。 Ở lối cửa ra vào có cửa tự động lớn"
入館料,"にゅうかんりょう「NHẬP QUÁN LIÊU」 phí vào cửa
入館料は400円です。 Phí vào cửa là 400 yên"
混雑,"こんざつ「HỖN TẠP」 sự đông đúc, đông nghịt
週末は、どこも混雑している。Cuối tuần ở đâu cũng đông nghịt"
行列,"ぎょうれつ「HÀNH LIỆT」 hàng người
人気の店の前に、長い行列ができている。 Trước cửa tiệm được ưa thích, có 1 hàng nghìn người xếp hàng"
休館日,"きゅうかんび「HƯU QUÁN NHẬT」 ngày nghỉ
この博物館の休館日は、月曜日だ。 Ngày nghỉ của bảo tàng này là thứ hai"
ホール,"hội trường
市のホールで、よくコンサートが開かれる。 Những buổi hòa nhạc hay được tổ chức ở hội trường thành phố."
使用料,"しようりょう「SỬ DỤNG LIÊU」 phí sử dụng
このホールの使用料は、3時間１万円だ。 Phí sử dụng hội trường này là 10 nghìn yên 3 giờ"
無料,"むりょう「VÔ LIÊU」 miễn phí
駅前で無料の化粧品をもらった。 Trước nhà ga, tôi được cho mỹ phẩm miễn phí."
老人ホーム,"ろうじんホーム「LÃO NHÂN」 nhà dưỡng lão
公園の近くに、老人ホームができるそうだ。 Nghe nói gần công viên có xây nhà dưỡng lão"
目印,"めじるし「MỤC ẤN」 dấu hiệu nhận biết
A「そちらの近くに、何か目印がありますか。」
B「そうですね。赤い橋があります。」
A  Ở gần đây có cái gì làm dấu không
B Ừ nhỉ. Có cây cầu đó."
歩道橋,"ほどうきょう「BỘ ĐẠO KIỀU」 cầu đi bộ qua đường
歩道橋に上ると、町がよく見える。 Nếu leo lên cầu đi bộ qua đường sẽ nhìn thấy rõ thành phố"
タワー,"tháp
スカイツリーは、日本で一番高いタワーだ。 Skytree là tháp cao nhất ở Nhật Bản
＋東京タワー: Tháp Toukyo"
ライト,"ánh sáng, chiếu sáng
あのタワーは夜7時になると、ライトがつく。 Tháp ấy cứ đến 7 giờ tối là có đèn chiếu sáng."
居酒屋,"いざかや「CƯ TỬU ỐC」 quán nhậu
この町には、たくさん居酒屋がある。 Ở phố này có nhiều quán nhậu"
八百屋,"やおや「BÁT BÁCH ỐC」 cửa hàng rau quả
野菜や果物は八百屋で買う。 Rau và hoa quả thì tôi mua ở cửa hàng rau quả."
正面,"しょうめん「CHÁNH DIỆN」 chính diện
パン屋の正面に、小さいな本屋がある。 Đối diện của hàng bánh có cửa hàng sách nhỏ"
そば,"bên cạnh
本屋のそばに、おいしいレストランがある。 Bên cạnh hiệu sách có 1 nhà hàng ngon"
コンクリート,"bê tông
あのアパートは、コンクリートでできている。 Chung cư đó được xây bằng bê tông"
地方,"ちほう「ĐỊA PHƯƠNG」 địa phương
この地方には、自然がたくさんある。 Địa phương này có nhiều phong cảnh tự nhiên"
地域,"ちいき「ĐỊA VỰC」 khu,  khu vực
この地域には、知り合いが多い。 Tôi có nhiều người quen ở khu vực này"
郊外,"こうがい「GIAO NGOẠI」 ngoại ô
いつか郊外に、庭のある家を建てたい。 Tôi muốn khi nào đó xây 1 căn nhà có khu vườn ở ngoại ô"
中心,"ちゅうしん「TRUNG TÂM」 trung tâm, giữa
広場の中心に、きれいな花が咲いている。 Hoa đẹp đang đua nở giữa trung tâm quảng trường
＋中央：ちゅうおう： trung ương, trung tâm"
移転,"いてん「DI CHUYỂN」 sự di chuyển, di dời
市役所が移転するらしい。 Nghe nói, tòa nhà ủy ban sẽ được di dời."
工事,"こうじ「CÔNG SỰ」 công trường xây dựng
3年くらい前から、駅の工事をしている。 Đang tiến hành công trường xây dựng nhà ga từ khoảng 3 năm trước"
空き地,"あきち「KHÔNG ĐỊA」 khu đất trống
うちの近くの空き地が、駐車場になった。 Khu đất trống ở gần nhà đã trở thành bãi đỗ xe"
