初投稿,"はつとうこう - SƠ ĐẦU CẢO - File đầu tiên, đóng góp đầu tiên
初投稿として、資料共有に使用するSharePointを共有します。"
留意,"りゅうい / LƯU Ý/ chú ý
注意 vs 留意
cả 2 đều mang nghĩa 「気をつけてください」, trong đó 注意 có độ khẩn cấp cao hơn 留意"
引っ越す,"ひっこす - DẪN VIỆT- Chuyển (nhà), thay đổi nơi cư trú"
祝日,"しゅくじつ - CHÚC NHẬT - Ngày lễ.
平日： ngày thường (ngày đi làm)
休日：Ngày nghỉ
祝日： ngày lễ
祭日 : ngày đỏ trong lịch, ngày lễ = 祝日"
仰る,"おっしゃる - NGƯỠNG- Nói 
申し上げる：もうしあげる：Khiêm nhường ngữ của 言います。
申します：もうします：Khiêm nhường ngữ của 言います。
仰っしゃる：おっしゃいます：Tôn kính ngữ của 言います。"
提供,"ていきょう - ĐỀ CUNG-Cung cấp , đưa ra
お客様のご希望に合った製品をご提供をいたします
Cung cấp sản phẩm phù hợp với kì vọng của khách hàng"
キックオフ,kick off. Vd: bắt đầu một dự án.
要求,"ようきゅう - YẾU CẦU- yêu cầu bắt buộc
申請(nhờ vả) =>請求(yêu cầu) => 要望(nguyện vọng) => 要求(yêu cầu bắt buộc)"
認証,にんしょう - NHẬN CHỨNG- xác thực /Authentication
先出し,さきだし - TIÊN XUẤT-Xuất trước
続報,ぞくほう - TỤC BÁO-thông báo tiếp theo
キャンペーン,campaign - chiến dịch khuyến mại lớn
加盟,かめい - GIA MINH -Sự gia nhập; sự tham gia;
属性,ぞくせい - THUỘC TÍNH -Thuộc tính; phần tử/attribute
鉄道,てつどう - THIẾT ĐẠO-Đường sắt; đường xe lửa
請求,"せいきゅう - THỈNH CẦU-Sự thỉnh cầu; sự yêu cầu; lời thỉnh cầu
請求が完了した状態です。Việc thanh toán đã được hoàn tất."
残高,ざんだか - TÀN CAO-Số dư (ngân hàng)
顧客,こきゃく - CỐ KHÁCH-khách quen
獲得,"かくとく - HOẠCH ĐẮC-Sự thu được; sự nhận được; sự kiếm được; sự thu nhận, Gặt hái được (sau quá trình cố gắng, nỗ lực)."
改めて,"あらためて - CẢI-Một lần nữa, lúc khác,dịp khác lúc khác, 改めてこちらがお訪ねします tôi sẽ đến thăm anh vào dịp khác."
厳格,げんかく - NGHIÊM CÁCH-Cứng rắn; khắt khe;  nghiêm ngặt
徹底,"てってい - TRIỆT ĐỂ-Sự triệt để (suy nghĩ, thái độ) - Nghiêm túc thực hiện"
手元,てもと - THỦ NGUYÊN-sẵn có
落ち度,"おちど - LẠC ĐỘ-Sai sót, sai lầm"
文面,"ぶんめん - VĂN DIỆN-nội dung của bức thư , cốt chuyện , nội dung"
版数,はんすう - BẢN SỔ-Số phiên bản/version
左詰め,ひだりづめ - TẢ CẬT-Căn lề trái
一律,"いちりつ - NHẤT LUẬT-Như nhau, Đồng đều; không phân biệt"
エスケープシーケンス,escape sequence - trình tự thoát hiểm
外字,がいじ - NGOẠI TỰ-External character-Từ vay mượn từ nước ngoài; tiếng nước ngoài;
一括,"いっかつ - NHẤT QUÁT-hàng loạt, Cùng đồng nhất đồng loạt tập trung làm"
単純,たんじゅん - ĐƠN THUẦN-Đơn giản
おそらく,Có lẽ; = たぶん
判明,はんめい - PHÁN MINH-làm rõ chân tướng sự việc...hiểu rõ
一読,"いちどく - NHẤT ĐỘC-Xem qua, đọc qua
一とおり（ざっと）読むこと。"
単一,"たんいつ - ĐƠN NHẤT-Đơn nhất; duy nhất,đơn lẻ"
不適切,"ふてきせつ - BẤT THÍCH THIẾT-Không phù hợp,không đúng cách"
ミスリーディング,Misleading - Thông tin sai lệch
ニュアンス,Nuance sắc thái
取り掛かる,"とりかかる -Bắt đầu; bắt tay vào việc
仕事に取り掛ける. Bắt tay vào công việc."
閲覧,"えつらん - DUYỆT LÃM-đọc 1 cách kỹ lưỡng, thong thả. vừa đọc vừa tìm hiểu.
資料を閲覧"
フルパス,Full path - đường dẫn
プレフィックス,prefix - tiền tố
突き合わせる,"つきあわせる - đối sánh, đối chiếu"
ズレ,Sự khác biệt
募集,"ぼしゅう - MỘ TẬP-tuyển dụng
khác nhau giữa　募集 va 採用 là ·(募集) ``lựa chọn hs tuyển dụng``(採用)``sau khi thi tuyển đã tuyển dụng được ứng viên B ``"
