ゴロゴロする;"không làm gì (nằm ườn)
コロナのせいで、外出禁止令が出されたため一日中家でゴロゴロしている。
Tại corona mà bị cấm ra ngoài nên tôi nằm ườn (ườn ẹo) ở nhà cả ngày."
うろうろする;"Đi lòng vòng (không có mục đích rõ ràng)
道が分からなくて、1時間もうろうろしてしまった。
Vì không biết đường nên tôi cứ đi lòng vòng cả 1 tiếng đồng hồ."
ぺちゃくちゃ;"Nói luôn mồm
彼は授業中にぺちゃくちゃおしゃべりをしている。
Cậu ta nói chuyện luôn mồm suốt cả buổi học."
ぞくぞくする;"Rùng mình/Run rẩy
蛇が嫌いなので、蛇を見るとぞくぞくする。
Vì tôi ghét rắn nên cứ thấy rắn là rùng mình."
ぴんぴんする;"Khỏe mạnh (thường dùng cho người già)
うちのおばあさんは90歳だが、まだぴんぴんしている。
Bà tôi đã 90 tuổi nhưng vẫn khỏe mạnh lắm."
からから;"Khát khô / khô khốc
「のどがカラカラだ。水が飲みたい」
“Khát cháy họng rồi. Tôi muốn uống nước.”
雨が降らないので、川の水がからからに乾いてしまった。
Vì trời không mưa nên nước ở con sông này cạn hết."
うとうと（する）;"Ngủ gà ngủ gật
宿題をやっているうちに、うとうとしてしまった。
Trong lúc làm bài tập thì ngủ gà ngủ gật."
いそいそ;"Hớn hở
姉はきれいな服を着て、いそいそと出かけた。
Chị gái tôi mặc đồ đẹp và hớn hở ra khỏi nhà."
ぺこぺこ;"Đói cồn cào / Đói meo
おなかがぺこぺこで、死にそうだ。
Tôi đói sắp chết rồi."
すっきりする;"→ Thoải mái / Sảng khoái / Dễ chịu
一杯のコーヒーを飲んだら頭がすっきりした。
Uống một tách cà phê xong thấy đầu óc thật tỉnh táo."
どきどきする;"Tim đập thình thịch/Hồi hộp
さっき電車の中で話しかけてきた男の人が、すっごくかっこよっかた。まだ胸がどきどきしている。
Người con trai vừa nãy bắt chuyện với tớ ở trên tàu đẹp trai vãi. Tim tớ giờ vẫn đang đập thình thịch"
ぼんやりする;"Lơ đãng/Thiếu tập trung
田中くんは授業中いつもぼんやりしている。
Tanaka lúc nào cũng lơ đãng trong giờ học"
ムカムカする;"Nôn nao/Buồn nôn
昨晩お酒を飲みすぎたせいか、今日は朝から胃がムカムカして気持ち悪い。
Tối qua do uống nhiều rượu hay sao mà từ sáng đến giờ người cứ nôn nao, khó chịu."
イライラする;"Bực bội/Khó chịu
隣の部屋のカラオケの声がうるさくてイライラする。
Phòng bên cạnh hát karaoke ồn ào khiến tôi bực bội."
ズキズキする;"Đau nhức
虫歯のところがズキズキする。
Chỗ bị sâu răng đau nhức."
びくびくする;"Sợ sệt/Lo lắng
親に叱られるかと思って、びくびくしていた。
Tôi lo lắng khi nghĩ đến việc bị bố mẹ mắng."
おどおどする;"Ngập ngừng/lúng túng
クラスの男子が、好きな女の子の前でおどおどしている。
Cậu nam sinh luôn lúng túng khi đứng trước mặt cô bé mình thích"
しょんぼりする;"Ủ rũ/Buồn thiu
弟はお金をなくして、しょんぼりしている。
Em trai tôi buồn thiu vì làm mất tiền."
くよくよ (する);"Bồn chồn/Lo lắng
彼には些細なことでくよくよと悩むくせがある。
Anh ta có tật hay lo lắng về những chuyện vặt vãnh."
