～は～です;私は学生です。(Tôi là học sinh.)Là, thì, ở
～ではありません;これは本ではありません。(Cái này không phải sách.)Không phải là
～か;これはペンですか。(Đây có phải bút không?)Câu hỏi
～も;私も行きます。(Tôi cũng đi.)Cũng
の;これは私の本です。(Đây là sách của tôi.)Sở hữu, của
これ／それ／あれ;これはおいしいです。(Cái này ngon.)Cái này / cái đó / cái kia
この／その／あの + danh từ;この本は面白いです。(Quyển sách này thú vị.)…này/…đó/…kia
ここ／そこ／あそこ;トイレはあそこです。(Nhà vệ sinh ở kia.)Chỗ này / chỗ đó / chỗ kia
どこ;駅はどこですか。(Nhà ga ở đâu?)Ở đâu
誰（だれ）;あの人は誰ですか。(Người kia là ai?)Ai
何（なに）;これは何ですか。(Đây là cái gì?)Cái gì
～から来ました;私はベトナムから来ました。(Tôi đến từ Việt Nam.)Đến từ…
～と～;水とパンをください。(Cho tôi nước và bánh.)Và (nối danh từ)
～じゃありません;学生じゃありません。(Không phải là học sinh.)Không phải là (nói thân mật)
～ね;いい天気ですね。(Trời đẹp nhỉ.)Nhỉ, nhé
～よ;これは美味しいですよ。(Cái này ngon đấy.)Đấy, nhé (nhấn mạnh)
も～ません;私も行きません。(Tôi cũng không đi.)Cũng không
～をください;水をください。(Cho tôi nước.)Cho tôi…
～があります;公園に木があります。(Trong công viên có cây.)Có (vật vô tri)
～がいます;庭に猫がいます。(Trong vườn có mèo.)Có (người, động vật)
～は～にあります／います;本は机の上にあります。(Sách ở trên bàn.)… ở …
～の上／下／中／前／後ろ;猫はテーブルの下にいます。(Mèo ở dưới bàn.)Trên, dưới, trong, trước, sau
どの + danh từ;どの本ですか。(Quyển nào vậy?)Danh từ nào
～や～など;本やノートなどがあります。(Có sách, vở,…)Và, như là…
どう;日本はどうですか。(Nhật Bản thế nào?)Thế nào
どうして／なぜ;どうして遅れたんですか。(Tại sao trễ vậy?)Tại sao
どんな + danh từ;どんな食べ物が好きですか。(Bạn thích loại món ăn nào?)Loại… nào
いくら;このりんごはいくらですか。(Quả táo này bao nhiêu tiền?)Bao nhiêu (giá tiền)
いくつ;りんごをいくつ食べましたか。(Bạn ăn mấy quả táo?)Bao nhiêu (số lượng)
～ませんか;一緒に行きませんか。(Đi cùng nhé?)Rủ rê
～ましょう;映画を見ましょう。(Hãy xem phim.)Hãy…
～ています;雨が降っています。(Trời đang mưa.)Đang…
～ていません;何もしていません。(Không làm gì cả.)Không đang…
～てもいいです;写真を撮ってもいいですか。(Tôi chụp ảnh được không?)Được phép…
～てはいけません;ここでタバコを吸ってはいけません。(Không được hút thuốc ở đây.)Không được phép…
～てから;食べてから勉強します。(Ăn xong rồi học.)Sau khi…
～たり～たりします;休みの日は本を読んだり、映画を見たりします。(Ngày nghỉ thì đọc sách, xem phim,…)Lúc thì… lúc thì…
～ながら;音楽を聞きながら勉強します。(Vừa học vừa nghe nhạc.)Vừa… vừa…
～に行きます;日本へ勉強しに行きます。(Đi Nhật để học.)Đi để…
～たいです;日本に行きたいです。(Tôi muốn đi Nhật.)Muốn…
～たくないです;食べたくないです。(Không muốn ăn.)Không muốn…
～たことがあります;日本へ行ったことがあります。(Tôi từng đi Nhật.)Đã từng…
～たことがありません;寿司を食べたことがありません。(Tôi chưa từng ăn sushi.)Chưa từng…
～なければなりません;宿題をしなければなりません。(Phải làm bài tập.)Phải…
～なくてもいいです;行かなくてもいいです。(Không cần đi.)Không cần…
～でしょう;明日は雨でしょう。(Ngày mai có lẽ mưa.)Có lẽ…
～と思います;日本はきれいだと思います。(Tôi nghĩ Nhật đẹp.)Tôi nghĩ là…
～と言います;田中さんは来ると言いました。(Anh Tanaka nói sẽ đến.)Nói là…
～てください;これを読んでください。(Hãy đọc cái này.)Hãy…
～ないでください;ここで寝ないでください。(Xin đừng ngủ ở đây.)Xin đừng…
～ていただけませんか;この書類をコピーしていただけませんか。Bạn có thể… được không? (lịch sự)
～てくださいますか;写真を撮ってくださいますか。Bạn có thể… giúp tôi không?
～てもいいです;ここで写真を撮ってもいいですか。Có thể…, được phép…
～てはいけません;教室でタバコを吸ってはいけません。Không được…
～なくてもいいです;宿題は今日出さなくてもいいです。Không cần phải…
～なければなりません;明日までにこの本を返さなければなりません。Phải…
～なくてはいけません;早く寝なくてはいけません。Phải…
～たほうがいいです;もっと野菜を食べたほうがいいですよ。Nên…
～ないほうがいいです;夜遅くまで起きないほうがいいです。Không nên…
～たらどうですか;疲れているなら、少し休んだらどうですか。Sao không…
～たらいいです;暇なときに日本語を勉強したらいいです。Nên…, sẽ tốt nếu…
～てもらえますか;窓を開けてもらえますか。Có thể… giúp tôi không?
～てもらってもいいですか;このペンを借りてもらってもいいですか。Tôi có thể nhờ… được không?
～てくれませんか;写真を送ってくれませんか。Làm ơn…, có thể…
～たばかり;さっき昼ご飯を食べたばかりです。Vừa mới…
～たところ;先生に質問したところです。Vừa mới… (hành động vừa hoàn tất)
～てある;テーブルの上に花が飾ってあります。Có…, đã… (tình trạng còn lại)
～ておく;明日の会議の資料を準備しておきます。Làm trước…, chuẩn bị…
～てみる;新しいレストランで食べてみたいです。Thử…
～てしまう;財布を忘れてしまいました。Lỡ…, hoàn tất…
～ようになる;日本語が話せるようになりました。Trở nên…, bắt đầu…
～ようにする;毎日早く寝るようにしています。Cố gắng…
～ように;忘れないようにメモします。Để…, nhằm…
～ようと思う;来年日本へ行こうと思います。Định…, dự định…
～ことになる;来月から東京へ転勤することになりました。Quyết định là…, được quy định…
～ことにする;毎日運動することにしました。Tôi quyết định…
～ことがある (経験);日本で寿司を食べたことがあります。Đã từng…
～ことがある (場合);冬に雪が降ることがあります。Có khi…, thỉnh thoảng…
～ことができる;日本語を話すことができます。Có thể…
～ことはない;心配することはありません。Không cần phải…
～ところだ;これから昼ご飯を食べるところです。Đang…, sắp…, vừa mới…
～つもりだ;来週旅行に行くつもりです。Dự định…, nghĩ rằng…
～つもりはない;車を買うつもりはありません。Không có ý định…
～はずだ;彼はもう来るはずです。Chắc chắn…, đáng lẽ…
～はずがない;彼がそんなことをするはずがない。Không thể nào…
～べきだ;約束は守るべきだ。Nên… (mạnh)
～べきではない;嘘をつくべきではない。Không nên… (mạnh)
～らしい;彼は学生らしいです。Có vẻ…, nghe nói…
～みたい;あの人は先生みたいです。Giống như…, hình như…
～そうだ (様態);このケーキはおいしそうです。Trông có vẻ…
～そうだ (伝聞);明日は雨が降るそうです。Nghe nói…
～ながら;音楽を聞きながら勉強します。Vừa… vừa…
～がする;いい匂いがします。Có…, nghe…, ngửi…
～ようだ;外は寒いようです。Có vẻ…, hình như…
～に違いない;あの人は先生に違いない。Chắc chắn là…
～たがる;子供は遊びたがっています。Muốn… (nói về người khác)
～そうにない;雨は止みそうにないです。Có vẻ không…
～わけだ;寒いわけです。暖房が壊れています。Thảo nào…, vì vậy…
～わけではない;高い料理が好きなわけではありません。Không hẳn là…
～わけがない;そんなことができるわけがない。Không thể nào…
