品物,"しなもの「PHẨM VẬT」 hàng hóa
駅前のデパートは、高い品物が多い。 Siêu thị mua sắm trước nhà ga có nhiều hàng hóa đắt tiền"
現金,"げんきん「HIỆN KIM」 tiền mặt
買い物は、いつも現金で払う。 Tôi lúc nào cũng trả tiền mặt khi mua sắm"
クレジットカード,"thẻ tín dụng
このクレジットカードは、とても便利だ。Thẻ tín dụng này rất tiện lợi"
1回払い,"１かいばらい thanh toán 1 lần
カードの支払いは、1回払いだ。 Thanh toán bằng thẻ là thanh toán 1 lần"
合計,"ごうけい「HỢP KẾ」 tổng cộng
先月のカードの支払いは、合計１０万円になった。Thanh toán thẻ tháng trước tổng cộng là 100 nghìn yên"
代金,"だいきん「ĐẠI KIM」 tiền mua hàng
品物は代金を払って、三日以内に届く。Trả tiền mua hàng sẽ được gửi đến trong vòng 3 ngày"
税込,"ぜいこみ「THUẾ 」 bao gồm thuế
この値段は税込ですか。 Giá này là đã bao gồm thuế chưa?
＜＞税別：ぜいべつ: Ko có thuế
＋税金：ぜいきん: tiền thuế"
請求書,"せいきゅうしょ「THỈNH CẦU THƯ」 phiếu yêu cầu thanh toán
電話料金の請求書が届いた。Phiếu yêu cầu thanh toán tiền điện thoại được gửi tới."
領収書,"りょうしゅうしょ「LĨNH THU THƯ」 hóa đơn
買い物をするときは、領収書をもらう。 Khi mua sắm, tôi lấy hóa đơn"
売り切れ,"うりきれ「MẠI THIẾT」 sự bán hết
ほしかったバッグは、売り切れだった。 Cái túi mà tôi muốn đã bị bán hết
＋売り切れる：bán hết"
品切れ,"しなぎれ「PHẨM THIẾT」 sự hết hàng
店の人に、Mサイズは品切れだと言われた。 Người bán hàng nói rằng cỡ M đã hết hàng
売り切れ：Hết hàng trong cửa hàng
品切れ： Hết hàng trong kho"
日替わり,"ひがわり「NHẬT THẾ」 thay đổi theo ngày
この店は、日替わりでセールをしている。 Cửa hàng này bán hạ giá thay đổi theo ngày"
割引,"わりびき「CÁT DẪN」 Giảm giá
あのパン屋は、水曜日に10パーセント割引をしている。Cửa hàng bánh đó giảm giá 10% vào thứ 4
＋割り引く：わりびく： giảm giá
＋割引券：わりびきけん: phiếu giảm giá
＋学生割引：がくせいわりびき：phiếu giảm giá cho sv"
半額,"はんがく「BÁN NGẠCH」 nửa giá tiền
５万円のコートが半額で買えた。 Tôi mua được 1 cái áo khoác 50 nghìn yên với nửa giá tiền
＋半額セール: bán hạ giá 50%"
特売日,"とくばいび「ĐẶC MẠI」 Ngày hạ giá đặc biệt
今日はスーパーの特売日だ。 Hôm nay là ngày hạ giá đặc biệt của siêu thị"
たった,"chỉ có, vẻn vẹn
有名ブランドのバッグがたった3万円だった。 Cái túi hàng hiệu nổi tiếng chỉ có 30 nghìn yên
ただ：just/only: chỉ"
得,"とく「ĐẮC」 món hời 
バーゲンに行って、得をした。 Tôi đi vào đợt hạ giá nên hời"
損,"そん「TỔN」 tổn thất, bị thiệt
バーゲンに行けなくて、損をした。 Không thể đi vào đợt bán giảm giá nên đã bị thiệt"
おまけ,"quà tặng khuyến mãi
お店の人が、りんごをおまけしてくれた。
Người bán hàng đã tặng khuyến mãi táo cho tôi"
むだ,"sự lãng phí
そんなものを買った、お金のむだだ（名）Mua món đồ như thế thì lãng phí
むだなものは買わないようにしている（な形）Cố gắng không những thứ không cần thiết"
むだづかい,"sự tiêu sài hoang phí
ボーナスをむだづかいしてしまった。 Tôi đã tiêu lãng phí tiền thưởng"
寄る,"よる「KÍ」 rẽ qua, ghé qua
帰りにデパートに寄って、買い物をした。
Trên đường về tôi đã ghé qua tttm mua sắm"
ついでに,"Tiện thể
郵便局に行った。ついでに、コンビニに寄った。
Tôi đã đi bưu điện. Tiện thể ghé qua combini"
レジ袋,"れじぶくろ「ĐẠI」 túi bóng, bao xốp
あのスーパーでは、レジ袋が3円です。 Ở siêu thị ấy, túi bóng đựng hàng là 3 yên"
定休日,"ていきゅうび「ĐỊNH HƯU NHẬT」 ngày nghỉ quy định
本日は定休日のため、休ませていただきます。 Hôm nay là ngày nghỉ qui định nên chúng tôi xin được phép nghỉ"
