アレルギー,"allergy / dị ứng
病院で、猫アレルギーだと言われた。
Ở bv người ta nói tôi bị dị ứng mèo
＋ほこりアレルギー：dust allergy / dị ứng bụi"
花粉症,"かふんしょう「HOA PHẤN CHỨNG」 hay fever / dị ứng phấn hoa
くしゃみが止まらない。花粉症かもしれない。
Bị hắt xì mãi mà ko dừng. Có lẽ tôi bị dị ứng phấn hoa"
うがい,"gargling / súc miệng, súc họng
家に帰ったら、必ずうまいをしている
Về đến nhà là tôi nhất định phải súc miệng
＋うがい薬：うがいぐすり：thuốc súc miệng"
手洗い,"てあらい「THỦ TẨY」 rửa tay
いつも、しっかり手洗いをしよう。
Hãy luôn rửa tay thật kỹ"
くしゃみ,"sneeze / hắt xì
彼は朝からずっと、くしゃみをしている。
Anh ấy hắt xì suốt từ sáng"
鼻水,"はなみず「TỊ THỦY」 runny nose/ nước mũi
くしゃみと鼻水が止まらない。
Bị hắt xì và chảy nước mũi ko dừng"
マスク,"(face mask) khẩu trang
花粉症の季節は、マスクをする。
Mùi dị ứng phấn hoa tôi đeo khẩu trang"
つらい,"tough, painful / mệt mỏi, khó chịu
今朝から熱があって、つらい。
Từ sáng đến giờ sốt, khó chịu"
かゆい,"itchy / ngứa
花粉が多い日は、目がかゆくなる。
Những ngày nhiều phấn hoa, mắt bị ngứa"
かゆみ,"itch / sụ ngứa ngáy
かゆみが、だんだんひどくなってきた。
Sự ngứa ngáy dần dần nặng lên"
かく,"to scratch / gãi
かゆくても、かかないでください。
Dù ngứa cũng đừng gãi"
こする,"to rub / dụi
目をこすりすぎて、赤くなった。
Dụi mắt nhiều sẽ đỏ lên"
こる,"（肩が）こる (vai) đau mỏi
ずっと勉強していて、肩がこった。
Chứng đau mỏi vai mà nặng lên thì cảm giác cũng trở nên khó chịu"
肩こり,"かたこり「KIÊN」  chứng đau mỏi vai
肩こりがひどいと、気持ちが悪くなる。
Chứng đau mỏi vai mà nặng lên thì cảm giác cũng trở nên khó chịu"
だるい,"sluggish / uể oải
体がだるい。かぜかもしれない。
Người uể oải. Có lẽ bị cảm cũng nên"
だるさ,"sluggishness / sự uể oải
少し寝たら、体のだるさが少しとれた。
Ngủ 1 chút, cơ thể cũng đỡ uể oải hơn"
マッサージ,"massage / đấm bóp / mát xa
肩こりがひどいので、マッサージしてもらった
Đau mỏi vai nặng nên tôi nhờ mát-xa"
