～し、～し、(それで/それに),"Và, vừa ( vì vậy, hơn nữa)"
～によると～そうです,Theo ~ thì nghe nói là ~
～そうに/そうな/そうです,"Có vẻ, trông như, nghe nói"
～てみる,Thử làm
～と,Hễ mà ~
～たら,"Nếu , sau khi~"
～なら,Nếu là ~
～（条件形）ば,Nếu ~
～ば,～　ほど Càng ~ càng ~
～たがる,"Muốn …, thích"
～かもしれない,"Có lẽ, không chừng ~"
～でしょう,(chắc) có lẽ ~
～しか～ない,Chỉ ~
～だけ～る,Chỉ ~
～ておく,Làm trước ~
～ようだ,"Hình như ~ , dường như ~"
～Ｖ意向形と思う,"Định làm ~ , tính làm ~"
～つもり,"Dự định ~ , quyết định ~"
～予定,"Theo dự định, kế hoạch ~"
～てあげる,Làm cho ( ai đó)
～てくれる,Làm cho (mình)
～Ｖてもらう,Được (Ai đó) làm cho
～Ｖていただけませんか,Có thể làm ~ được không
～受身,"Chia bị động (bị, bắt làm)"
～Ｖ禁止,Chia thể cấm chỉ( cấm)
～Ｖ可能形,Chia khả năng (có thể)
～Ｖ使役,"Chia sai khiến (để, cho)"
～Ｖ使役受身,Chia thụ động(bị bắt làm)
～ても/,でも Dù nhưng
～てしまう,"Phải làm, sẽ làm"
～Ｖてしまった。,"Xong , lỡ làm"
～みたい,"Giống như, hình như ~"
～ながら,Vừa ~ vừa
～のに,"Cho ~, để ~"
～はずです,"Chắc chắn, nhất định"
～はずがない,"/ はずはない Không thể, không chắc"
～ずに,Không làm gi ~
～ないで,~ mà không
～かどうか,~ hay không
～という,Nói về ~ như thế
～やすい,Dễ ~
～にくい,Khó ~
～てある,"Đã làm, có làm gì đó"
～Ｖている,Đang có
～あいだに,"Trong khi, trong lúc"
～,にする Làm cho ~
～Ｖてほしい/～Ｖてもらう,Muốn (ai) làm gì đó ~
～たところ,"Sau khi, mặc dù ~"
～ことにする,Tôi quyết định
～ことになっている,"Được quyết định, qui tắc"
～とおりに,"/ ～どおりに Làm theo, giống"
～ところに/ところへ,Trong lúc ~
～もの,Vì ~
～ものか,Vậy nữa sao
～ものなら,Nếu ~
～ものの,Mặc dù ~ nhưng mà ~
～ように,Để (phòng)
～ために,"Để, cho (lợi ích)"
～場合,"Trường hợp, khi ~"
～たほうがいい/ないほがいい,"Nên làm, không nên làm"
～んです,"Đấy, vì ~ ( trạng thái)"
～すぎる,Quá ~
～Ｖ可能形ようになる,Đã có thể làm
～Ｖる/ないようにする,Cố gắng làm/ không làm
～なさい,Hãy làm
Ｖるようになる,Bắt đầu ~
～後で,Sau khi
～後,Sau khi
～Ｖたらいいですか,Nên làm ~ không
～Ｖばいいですか,Nên làm ~ không
まだ～Ｖている,Vẫn ~ đang làm
まだ～Ｖていない,Vẫn ~ chưa làm
～と読む,Đọc là ~
～と書いてある,Viết là ~
～どういういみですか,~ Có nghĩa là gì
～といういみです,Nghĩa là ~
～といいました/,いっていました Đã nói ~
～伝えていただけませんか,Có thể truyền đạt ~ dc ko
～Ｖて来る,Đi về ngay
～たばかり,Vừa mới
～Ｖ尊敬,Kính ngữ
お,～　Ｖなる Cách nói kính ngữ
お,～　Ｖください Mệnh lệnh kính ngữ
～Ｖ謙譲語,Khiêm nhường ngữ
お,～　します Cách nói khiêm nhường
ご,～　します Khiêm nhường ngữ
～のに、～,Mặc dù
～によって,Bởi từ
Ｖるようにしている,Cố gắng làm v/ đang làm
Ｖないようにしている,Cố gắng không làm v
（可能形）るようになった,Đã có thể làm
（可能形）ないようになった,Đã không thể làm
Ｖるようにしてください,Hãy cố gắng làm v
Ｖないようにしてください,Hãy cố gắng không làm v
