最近,さいきん / largest / lớn nhất
最多,"さいた / most / tối đa, nhiều nhất"
最高,"さいこう / highest, best / tuyệt đinh, tuyệt vời"
最良,さいりょう / the best / tốt nhất
最善,さいぜん /the best / tốt nhất
最新,"さいしん / newest / tối tân, mới nhất"
最小,さいしょう / smallest / nhỏ nhất
最少,"さいしょう least / tối thiểu, ít nhất"
最低,"さいてい / lowest, worst / tồi tệ"
最悪,さいあく / worst / tồi tệ
印象的,"いんしょうてき / impressive / một cách ấn tượng
N+的: like ~ / như là ~, một cách ~"
意識的,"いしきてき / conscious / một cách có ý thức
N+的: like ~ / như là ~, một cách ~"
計画的,"けいかくてき / deliberate / một cách có kế hoạch
N+的: like ~ / như là ~, một cách ~"
個人的,"こじんてき /personal / mang tính cá nhân
N+的: like ~ / như là ~, một cách ~"
社会的,"しゃかいてき / social / mang tính xã hội
N+的: like ~ / như là ~, một cách ~"
全国的,"ぜんこくてき / national / toàn quốc
N+的: like ~ / như là ~, một cách ~"
一般的,"いっぱんてき / general / thông thường
N+的: like ~ / như là ~, một cách ~"
具体的,"ぐたいてき / concrete / cụ thể
N+的: like ~ / như là ~, một cách ~"
現実的,"げんじつてき / realistic / mang tính hiện thực
N+的: like ~ / như là ~, một cách ~"
自動的,"じどうてき / automatical / tự động
N+的: like ~ / như là ~, một cách ~"
世界的,"せかいてき / global / thế giới, toàn cầu
N+的: like ~ / như là ~, một cách ~"
理想的,"りそうてき / ideal / ý tưởng
N+的: like ~ / như là ~, một cách ~"
国際化,"こくさいか globalization / quốc tế hóa
N+化: change to become N / biến đổi thành N"
高齢化,"こうれいか / aging / già hóa
N+化: change to become N / biến đổi thành N "
少子化,"しょうしか / declining birth date / trở nên ít trẻ em
N+化: change to become N / biến đổi thành N"
一般化,"いっぱんか / popularization / phổ biến hóa, tổng quát hóa
N+化: change to become N / biến đổi thành N"
文章化,ぶんしょうか / liberalization / tự do hóa
デジタル化,"digitalization / số hóa 
N+化: change to become N / biến đổi thành N"
