ドライブ,"sự lái xe dạo chơi
私の趣味はドライブです。
Sở thích của tôi là lái xe"
乗せる,"のせる「THỪA」 chở, get a ride
友達や彼女を乗せて、よくドライブする。
Tôi hay lái xe chở bạn bè hay ny đi chơi
＜＞降ろす：おろす：「HÀNG」 lấy xuống"
助手席,"じょしゅせき「TRỢ THỦ TỊCH」 ghế phụ
彼女が助手席に座ると、どきどきする。
Cô ấy ngồi ở ghế phụ là tôi cảm thấy hồi hộp
＋運転席：うんてんせき： ghế lái"
シートベルト,"seat belt, dây an toàn
シートベルトをするのを、忘れないでください。
Đừng quên thắt dây an toàn"
カーナビ,"GPS, thiết bị chỉ đường ô tô
カーナビがあれば、どこへでも行ける。
Nếu có thiết bị GPS thì đi đâu cũng được"
道路,"どうろ「ĐẠO LỘ」 đường, đường bộ
今日は道路が、いつもより空いている。
Hôm nay đường vắng hơn mọi khi."
渋滞,"じゅうたい「SÁP TRỆ」 sự kẹt xe, tắc đường
連休中、この道路はかなり渋滞する。
Vào ngày nghỉ dài, đường này kẹt xe khá nặng"
速度,"そくど「TỐC ĐỘ」 tốc độ
速度を守って走ろう。 Hãy chạy đúng tốc độ"
高速道路,"こうそくどうろ「CAO TỐC ĐẠO LỘ」 đường cao tốc
高速道路は、あまり利用したことがない。
Tôi ko hay sử dụng đường cao tốc lắm"
安全,"あんぜん「AN TOÀN」 sự an toàn
安全な場所に車を止めた。
Dừng xe ở địa điểm an toàn
＋安全運転：あんぜんうんてん：Lái xe an toàn"
列,"れつ「LIỆT」 line, hàng
ひどい渋滞で、車の長い列ができている。
Đường tắc nặng, xe nội thành hàng dài"
割り込む,"わりこむ「CÁT 」 chen hàng
後ろの車が、私の前に割り込んできた。
Xe đằng sau chen lên trước tôi"
駐車違反,"ちゅうしゃいはん「TRÚ XA VI PHẢN」 vi phạm quy định đỗ xe
駐車違反をしたら、お金を払わなければならない。
Nếu vi phạm quy định đỗ xe sẽ phải trả tiền"
スピード違反,"スピードいはん「VI PHẢN」 vi phạm tốc độ
スピード違反をしたことがない。
Tôi chưa từng vi phạm tốc độ"
飲酒運転,"いんしゅうんてん「ẨM TỬU VẬN CHUYỂN」 Uống rượu khi lái xe
飲酒運転をしてはいけません。
Ko được uống rượu bia khi lái xe
＋飲酒：いんしゅ： sự uống rượu"
アクセル,"chân ga, accelerator, gas (pedal)
アクセルを踏んで、スピードを上げた。
Tôi đạp ga tăng tốc"
カーブ,"đoạn đường cong
ここから長いカーブの道が続く。
Từ đây trở đi sẽ là đoạn đường cong kéo dài liên tiếp"
ゆるい,"lỏng, mềm mại
①シートベルトがゆるいと、危険だ
②ゆるいカーブの道を走る。
1. Dây an toàn lỏng lẻo thì nguy hiểm
2. Chạy trên đường có khúc cong mềm dẻo"
バンク,"nổ lốp, thủng lốp
彼の車は、何かを踏んでパンクした。
Xe của anh ta đè lên cái gì đó bị nổ lốp
＋タイヤ： tire, lốp xe"
一方通行,"いっぽうつうこう「NHẤT PHƯƠNG THÔNG HÀNH」 đường 1 chiều
この道が一方通行だと知らなかった。
Tôi ko hề biết đây là đường 1 chiều"
通行止め,"つうこうとめ「THÔNG HÀNH CHỈ」 cấm đường
ここから先は通行止めです。
Từ chỗ này trở đi bị cấm đường"
運転免許証,"うんてんめんきょしょう: giấy phép lái xe
運転免許証は常に持っていなければならない。
Phải luôn mang theo bằng lái xe"
ぶつかる,"bị đâm, bị va
交差点で、車と自転車がぶつかった。
Xe ô tô và xe đạp đâm nhau ở ngã tư
＋（～を）ぶつける： đâm vào"
ひく,"to hit, to run over, đụng, cán qua
車の前に犬にいたので、ひかないように注意した。
Có 1 chó ở trước xe nên tôi đã chú ý để không đụng nó"
ハンドル,"steering wheel, tay lái, vô lăng
初めてハンドルをにぎったときは、緊張した。
Tôi căng thẳng khi lần đầu tiên điều khiển  tay  lái."
トランク,"trunk, thùng xe
車のトランクに、ゴルフの道具が入っている。
Trong thùng xe ô tô có dụng cụ chơi gôn"
エンジン,"động cơ
この車のエンジンの音は、ちょっとおかしい。
Tiếng động cơ xe này hơi lạ"
中古車,"ちゅうこしゃ「TRUNG CỔ XA」 xe ô tô cũ
いろいろ考えて、中古車を買うことにした。
Nghĩ đi nghĩ lại, tôi đã quyết định mua xe oto cũ"
トラック,"truck, xe tải
トラックが、私の車を追い越していった。
Chiếc xe tải đã vượt qua xe của tôi"
