妊,NHÂM - 音: ニン - 故事: Người phụ nữ (女) gánh vác trách nhiệm (任) mang thai NHÂM (妊) - Ví dụ: 妊婦 (にんぷ) / 避妊 (ひにん) / 不妊 (ふにん)
娠,THẦN - 音: シン - 故事: Người phụ nữ (女) mang thai đến kỳ chấn (辰) động là THẦN (娠) - Ví dụ: 妊娠 (にんしん)
双,SONG - 訓: ふた - 音: ソウ - 故事: Hai (又) cái tay cầm 2 con chim là một SONG (双) - Ví dụ: 双子 (ふたご) / 双方 (そうほう) / 双数 (そうすう)
誕,ĐẢN - 音: タン - 故事: Lời nói (言) kéo dài (延) để chúc mừng ngày sinh ĐẢN (誕) - Ví dụ: 誕生日 (たんじょうび) / 生誕 (せいたん)
拍,PHÁCH - 音: ハク / ヒョウ - 故事: Dùng tay (扌) vỗ vào vật màu trắng (白) tạo ra nhịp PHÁCH (拍) - Ví dụ: 拍手 (はくしゅ) / 拍車をかける (はくしゃをかける) / 三拍子 (さんびょうし)
催,THÔI - 訓: もよおーす - 音: サイ - 故事: Con người (亻) THÔI (催) thúc chim (隹) bay về núi (山) - Ví dụ: 催す (もよおす) / 開催 (かいさい) / 主催 (しゅさい) / 催促 (さいそく)
渇,KHÁT - 訓: かわーく - 音: カツ - 故事: Nước (氵) bị bao vây (曷) dưới mặt trời nên bị KHÁT (渇) - Ví dụ: 喉が渇く (のどがかわく) / 渇水 (かっすい) / 渇望 (かつぼう)
騒,TAO - 訓: さわーぐ - 音: ソウ - 故事: Con ngựa (馬) bị kiến (虫) đốt vào chân (又) nên làm TAO (騒) động - Ví dụ: 騒ぐ (さわぐ) / 騒音 (そうおん) / 騒々しい (そうぞうしい)
延,DUYÊN - 訓: のーびる / のーべる - 音: エン - 故事: Bước chân đi trên con đường dài để trì hoãn DUYÊN (延) - Ví dụ: 延びる (のびる) / 延期 (えんき) / 延長 (えんちょう)
更,CANH/CAN - 訓: さら / ふーける - 音: コウ - 故事: Thay đổi (更) cách cầm roi để làm việc - Ví dụ: 夜が更ける (よがふける) / 更新 (こうしん) / 変更 (へんこう) / 今更 (いまさら)
徹,TRIỆT - 音: テツ - 故事: Đi bộ (彳) nuôi dạy con trẻ (育) bằng cách cầm roi đánh là TRIỆT (徹) để - Ví dụ: 徹夜 (てつや) / 徹底 (てってい) / 貫徹 (かんてつ)
憶,ỨC - 音: オク - 故事: Trái tim (忄) luôn nhớ về ý (意) nghĩ cũ là ký ỨC (憶) - Ví dụ: 記憶 (きおく) / 追憶 (ついおく)
携,HUỀ - 訓: たずさーえる / たずさーわる - 音: ケイ - 故事: Dùng tay (扌) dắt con chim (隹) đi là HUỀ (携) tay nhau - Ví dụ: 携帯 (けいたい) / 提携 (ていけい) / 携わる (たずさわる)
即,TỨC - 音: ソク - 故事: Ngồi vào bàn ăn (皀) ngay lập TỨC (即) - Ví dụ: 即座に (そくざに) / 即席 (そくせき) / 即断 (そくだん)
稼,GIÁ - 訓: かせーぐ - 音: カ - 故事: Cây lúa (禾) mang về nhà (家) để đi GIÁ (稼) kiếm tiền - Ví dụ: 稼ぐ (かせぐ) / 稼働 (かどう) / 共稼ぎ (ともかせぎ)
需,NHU - 音: ジュ - 故事: Mưa (雨) rơi trên người (而) là nhu cầu NHU (需) yếu - Ví dụ: 需要 (じゅよう) / 特需 (とくじゅ)
拒,CỰ - 訓: こばーむ - 音: キョ - 故事: Dùng tay (扌) cầm cái thước (巨) để CỰ (拒) tuyệt - Ví dụ: 拒む (こばむ) / 拒否 (きょひ) / 拒絶 (きょぜつ)
厳,NGHIÊM - 訓: きびーしい - 音: ゲン - 故事: Hai cái miệng nói chuyện trên vách đá rất NGHIÊM (厳) túc - Ví dụ: 厳しい (きびしい) / 厳格 (げんかく) / 厳禁 (げんきん)
背,BỐI - 訓: せ / せい / そむーく - 音: ハイ - 故事: Phần thịt (月) ở phía Bắc (北) là cái lưng BỐI (背) - Ví dụ: 背中 (せなか) / 背景 (はいけい) / 背信 (はいしん)
肩,KIÊN - 訓: かた - 音: ケン - 故事: Phần thịt (月) dưới cái cửa (戸) là cái vai KIÊN (肩) - Ví dụ: 肩 (かた) / 肩書き (かたがき) / 肩代わり (かたがわり)
胸,HUNG - 訓: むね - 音: キョウ - 故事: Phần thịt (月) được bao bọc (勹) bởi hung khí (凶) là ngực HUNG (胸) - Ví dụ: 胸 (むね) / 胸中 (きょうちゅう) / 胸囲 (きょうい)
腰,YẾU - 訓: こし - 音: ヨウ - 故事: Phần thịt (月) của người phụ nữ (女) quan trọng (要) là cái eo YẾU (腰) - Ví dụ: 腰 (こし) / 腰痛 (ようつう) / 腰掛ける (こしかける)
