競争,"きょうそう「CẠNH TRANH」 sự cạnh tranh
子供のころから競争が好きだった。
Từ hồi bé tôi đã thích cạnh tranh"
活躍,"かつやく「HOẠT DƯỢC」 hoạt động tích cực
有名なサッカーチームに入って活躍したい。
Tôi muốn vào đội bóng đá nổi tiếng để hoạt động tích cực"
ウェア,"wear, quần áo, trang phục
スポーツを初めるなら、まずウェアが必要だ。
Nếu muốn bắt đầu chơi thể thao thì trước tiên cần phải có trang phục
＋スポーツウェア: sportswear: đồ thể thao
＋メンズウェア: trang phục nam"
ける,"to kick, đá
試合に出たが、ボールをけるチャンスがなかった。
Tôi đã tham gia trận đấu nhưng ko có cơ hội đá bóng"
ホームラン,"homerun, đánh bóng ra ngoài sân
これで、今日３本目のホームランだ。
HÔm nay đây là lần thứ 3 đánh bóng ra ngoài sân"
打つ,"うつ「ĐẢ」 to hit, to strike, đánh
兄が初めてのヒットを打った。
Anh trai tôi lần đầu đánh trúng"
前半,"ぜんはん「TIỀN BÁN」 hiệp đầu, nửa đầu
サッカーの試合の前半は、㍘で終わった。
Hiệp đầu trận đấu bóng đá đã kết thúc mà ko có bàn thắng nào
＜＞後半：こうはん: nửa sau"
ポイント,"point, điểm
両チーム、どちらも強くて、なかなかポイントが入らない。
Cả 2 đội đều mạnh lên nên mãi ko ghi được điểm nào"
引き分け,"ひきわけ「DẪN PHÂN」 draw, hòa
昨日のサッカーの試合は、引き分けだった。
Trận bóng đá hôm nay có tỷ số hòa"
運動会,"うんどうかい「VẬN ĐỘNG HỘI」 sports day, ngày hội thể thao
10月に、学校で運動会がある。
Vào tháng 10, tại các trường học diễn ra ngày hội thể thao"
大声,"おおごえ「ĐẠI THANH」 big voice, tiêng to, hô to, hò hét
大声で、兄のチームを応援した。
Tôi hò hét ủng hộ đội của anh trai"
思い切り,"おもいきり「TƯ THIẾT」 hạ quyết tâm
今日は思い切りやって、優勝しよう。
Hôm nay hãy hạ quyết tâm vô địch nào"
ペース,"pace, tốc độ
あの選手は30キロ走っても、ペースが落ちない。
Vận động viên ấy chạy 30km cũng ko bị giảm tốc độ"
ゴール,"
goal, đích
マラソンで、5時間かかってゴールした。
Trong cuộc thi marathon, tôi đã mất 5 tiếng để chạy về đích"
拍手,"はくしゅ「PHÁCH THỦ」 clapping, vỗ tay
最後の選手がゴールしたとき、みんなが大きな拍手を送った。
Khi vdv cuối cùng về đích mọi người làm 1 tràng vỗ tay lớn cổ vũ"
ライバル,"rival, đối thủ
ライバルには、ぜったいに負けたくない。
Tôi tuyệt đối ko muốn thua đối thủ
＝競争相手：きょうそうあいて：đối thủ cạnh tranh"
握手,"あくしゅ「ÁC THỦ」 shaking hands, bắt tay
試合の後で、相手の選手と握手した。
Sau trận đấu, tôi đã bắt tay đối phương"
惜しい,"おしい「TÍCH」 disappointing, tiếc, đáng tiếc
1秒の違いで負けるなんて、本当に惜しい。
Chênh nhau có 1 giây thôi mà thua, thật đáng tiếc"
すばやし,"fast, quick, swift, nhanh nhẹn
弟はすばやくて、サッカーが得意だ。
Em trai tôi nhanh nhẹn, giỏi bóng đá"
体操,"たいそう「THỂ THAO」 gymnastics, thể dục
小学生のときは、体操クラブに入っていた。
Hồi học tiểu học, tôi vào clb thể dục
＋新体操：しんたいそう：môn dụng cụ thể dục"
トレーニング,"training, luyện tập
毎日授業のあと、3時間トレーニングしている。
Hàng ngày sau buổi học trên lớp tôi tập luyện 3 tiếng"
日課,"にっか「NHẬT KHÓA」 daily routine, việc thường làm hàng ngày
私の日課は、朝のジョギングだ。
Việc thường làm hàng ngày của tôi là chạy bộ buổi sáng"
キャプテン,"captain, đội trưởng
高校3年のとき、キャプテンだった。
Hồi học cấp 3 năm lớp 12, tôi làm lớp trưởng"
プロ,"pro, professional, chuyên nghiệp
弟は、プロのスポーツ選手になるのが夢だ。
Em trai tôi mơ ước trở thành vdv thể thao chuyên nghiệp
＋プロフェッショナル
＜＞アマチュア:nghiệp dư"
プレー,"playing, chơi
大好きな選手が、アメリカでプレーしている。
Vdv mà tôi yêu thích đang chơi ở Mỹ
＋ファインプレー：a fine play: chơi đẹp"
ファン,"fan, người hâm mộ
私は彼の大ファンで、ずっと応援している。
Tôi là 1 fan hâm mộ lớn của anh ấy, tôi ủng hộ anh ấy suốt"
引退,"いんたい「DẪN THỐI」 retirement, sự giải nghệ, rút lui
好きなラグビー選手が引退してしまった。
Vdv bóng bầu dục tôi yêu thích đã giải nghệ mất rồi"
水着,"みずぎ「THỦY TRỨ」 swinsuit, bathing suit, đồ bơi
新しい水着を旅行に持って行った。
Tôi đã đem bộ đồ tắm mới đi du lịch"
