～にわたる/にわたって,"Suốt, trải suốt, trải khắp<br>5日間にわたって会議が行われた。→ Cuộc họp diễn ra trong suốt 5 ngày."
～っけ,Đúng không<br>あの店、どこにあったっけ？→ Cửa hàng đó ở đâu nhỉ?
～いったい,Hẳn là<br>いったい何が起こったの？
～ないことには,Nếu không~<br>お金がないことには旅行できない。→ Nếu không có tiền thì không thể đi du lịch.
～さえ～ば,"Chỉ cần, ngay cả, thậm chí<br>お金さえあれば、何でもできる。"
けっして～ない,Không bao giờ<br>けっして諦めない。→ Tuyệt đối không từ bỏ.
～N+ばかり,"Toàn là, chỉ là ~<br>この店には女性ばかりいます。"
～V(bỏ,"masu)あげる/～あげる Làm xong, hoàn thành<br>この本は読みかけだ。→ Cuốn sách này đang đọc dở."
～V(bỏ,masu)きる/～きれる Làm hết<br>この本は読みかけだ。→ Cuốn sách này đang đọc dở.
～V(bỏ,masu)かける Đang làm<br>この本は読みかけだ。→ Cuốn sách này đang đọc dở.
～向けだ/～向けに/～向けの,Thích hợp với<br>これは子供向けの映画です。→ Đây là phim dành cho trẻ em.
～向きだ/～向きに/～向きの,"Phù hợp, dành cho<br>これは初心者向きの教材です。→ Đây là tài liệu phù hợp cho người mới bắt đầu."
～さらに,"Thêm nữa, hơn nữa<br>さらに努力が必要です。"
～せいぜい,"Tối đa, không hơn được nữa<br>せいぜい5分しかかからないでしょう。→ Nhiều nhất cũng chỉ mất 5 phút thôi."
～というものだ,"Nhằm, có nội dung<br>それは無理というものだ。→ Điều đó thật là vô lý."
～ものか,Nhất định không làm thế<br>そんなこと、するものか。→ Nhất định không làm chuyện đó.
～っこない,Tuyệt đối không<br>そんなこと、できっこないよ。→ Việc đó không thể làm được đâu.
～わけない,"Lẽ nào lại, làm sao ~ được<br>そんなことできるわけない。→ Không thể làm được việc đó."
～つい,Lỡ<br>ついお菓子を食べ過ぎてしまった。
～に基づき,"Dựa trên, làm cơ sở<br>データに基づいて判断する。→ Phán đoán dựa trên dữ liệu."
～まま,"Cứ để nguyên, giữ nguyên<br>テレビをつけたまま寝てしまった。"
～っぱなし,Để nguyên<br>テレビをつけっぱなしで寝てしまった。→ Để TV bật rồi ngủ mất.
～たとたん（に）,Ngay sau đó<br>ドアを開けたとたん、猫が飛び出した。→ Vừa mở cửa thì con mèo nhảy ra.
～どうしても,"Dù thế nào cũng, nhất định<br>どうしても彼に会いたい。"
～どうやら,"Hình như, giống như là, cuối cùng<br>どうやら雨が降りそうだ。"
