おしゃれ,"fashionable, sự sành điệu
学生時代からおしゃれが大好きだった。（名）
Tôi thích ăn diện từ hồi học sinh
渋谷はおしゃれな町だ（な形）
Shibuya là khu phố sành điệu"
好む,"このむ「HẢO」 to like, thích, chuộng
姉はイタリアのバックを好んで買っている。
Em gái tôi thích mua túi xách của Ý"
好み,"このみ「HẢO」 liking, sở thích, gu
このコートは、色もデザインも私の好みだ
Chiếc áo khoác này màu sắc và thiết kế đúng gu tôi
＋タイプ：type, kiểu, gu"
流行,"りゅうこう「LƯU HÀNH」 be in fashion, sự thịnh hành, mốt
雑誌を読むと、今年の流行がよくわかる。
Nếu đọc tạp chí thì hiểu được rõ mốt năm nay
＋流行語：りゅうこうご：từ thịnh hành
＋流行色：りゅうこうしょく：màu thinh hành"
はやり,"fad, craze, thịnh hành, mốt
今年はグリーンが、はやりのようだ。
Năm này màu xanh lá hình như là mốt"
カタログ,"catalogue, sách mẫu(hàng hóa, quần áo)
買い物に行けないので、カタログで洋服を買う。
Tôi ko đi mua sắm được nên mua quần áo trên cateloge"
サンプル,"sample, mẫu
デパートで、化粧品のサンプルをもらった。
Ở trung tâm thương mại, tôi được cho mẫu mỹ phẩm dùng thử
＝見本：みほん"
探す,"さがす「THAM」 to look for, tìm kiếm
ずっと、こんなバッグを探していた。
Tôi tìm suốt cái túi như này"
似合う,"にあう「TỰ HỢP」 to suit, hợp 
彼にグリーンが似合うと言われた。
Anh ấy nói màu xanh hợp với tôi"
ぴったり,"fit just right, sự vừa khít, phù hợp
①このスカートは、私にぴったりのサイズだ。
Cái vày này vừa khít cỡ của tôi
②このバッグは、私のコートにぴったりだ。
Cái túi này rất hợp với áo khoác của tôi"
高級,"こうきゅう「CAO CẤP」 high quality, sự cao cấp
友達は、いくつも高級なバッグを持っている。
Bạn tôi lúc nào cũng mang túi cao cấp
+一流「NHẤT LƯU」：いちりゅう:first -class, hàng đầu"
ブランド,"brand, hàng hiệu
ボーナスで、ブランドのバッグを買った。
Tôi mua chiếc túi hàng hiệu bằng tiền thưởng
＋高級ブランド：hàng hiệu cao cấp
＋有名ブランド：hàng hiệu nổi tiếng"
本物,"ほんもの「BỔN VẬT」 real thing, đồ thật
あの店で売っている時計は、本物だ。
Đồng hồ bán ở cửa hàng kia là đồ thật"
偽物,"にせもの「NGỤY VẬT」 fake, đò giả
本物にそっくり偽物に注意してください。
Hãy cẩn thận với hàng giả giống vs hàng thật
＋偽札：にせさつ：tiền giả"
保証,"ほしょう「BẢO CHỨNG」 guanrantee, sự bảo đảm
この商品は、100パーセント本物だと保証します。
Sản phẩm này bảo đảm là hàng thật 100%
＋保証書：ほしょうしょ: giấy bảo hành"
バーゲンセール,"bargain sale, bán hạ giá
この靴は、バーゲンセールで半額だった。
Đôi giày này bán trong đợt hạ giá có nửa giá
＝バーゲン"
取り替える,"とりかえる / to exchange / to replace, thay, đổi
このシャツは汚れているので、取り替えてください。
Chiếc áo sơ mi này bị bẩn nên đổi cho tôi cái khác"
はめる,"to put on / đeo / xỏ
結婚指輪は左の薬指にはめる。
Xỏ nhẫn cưới vào ngón áp út của tay trái"
外す,"はずす「NGOẠI」 to take off, tháo, rời
①指輪をは外して、なくさないように箱に入れる。
Tôi tháo nhẫn, bỏ vào hộp để khỏi mất
②田中部長は、席を外しています。
Trưởng phòng tanaka rời khỏi ghế ra ngoài
＋（指輪が）外れる：to come off, tuột, rời"
カット,"cutting, việc cắt (tóc)
夏になったら、髪をカットしたい。
Đến mùa hè tôi muốn cắt tóc"
パーマ,"perm , uốn tóc
たまにはパーマをかけて、気分を変えよう。
Thi thoảng hãy uốn tóc để thay đổi tâm trạng"
染める,"そめる「NHIỄM」 to dye, nhuộm
髪を明るい色に染めた。
Tôi đã nhuộm tóc sang màu sáng"
サイズ,"size, cỡ
このデザインの、ほかのサイズはありますか
CÒn cỡ khác của mẫu mã này ko"
