苦情,"くじょう「KHỔ TÌNH」complaint / kêu ca, phàn nàn
近所から苦情があったので、謝った。
Bị hàng xóm kêu ca, tôi đã xin lỗi
＝クレーム"
あわただしい,"hurried, confused, busy / tất bật
ゆうべ社長が亡くなり、今日は一日あわただしい。
Giám đốc đột ngột mất tối qua hôm nay tất bật cả ngày"
あわてる,"to be flustered / to panic / cuống lên
バッグの中に財布が見つからず、あわてた。
Tôi đã cuống lên vì ko nhìn thấy ví trong túi đâu"
いきなり,"suddenly / bỗng nhiên
アパートの前で、いきなり名前を呼ばれた。
Tôi bỗng nhiên bị gọi tên trước căn hộ"
いじめ,"bullying / sự trêu chọc, bắt nạt
いじめは社会の問題だ。
Bắt nạt là 1 vấn đề của xã hội"
いじめる,"to bully / trêu chọc , bắt nạt
友達をいじめるなんて、最低だ。
Bắt nạt bạn bè thật là tệ"
迷子,"まいご「MÊ TỬ」 lost person / trẻ lạc, sự đi lạc
日本へ来たころ、よく迷子になった。
Hồi đến Nhật, tôi hay bị lạc đường"
場合,"ばあい「TRÀNG HỢP」 instance / occasion / trường hợp
迷子になった場合は、交番で聞いてください。
Trường hợp bị lạc, hãy đến đồn cảnh sát hỏi đường"
落とす,"おとす「LẠC」 to drop , to let fall / đánh rơi
駅で定期券を落としたが、戻ってきた。
Tôi đánh rơi vé tháng ở ga nhưng đã được trả lại
＋（～が）落ちる：to fall, to be dropped / rơi"
なくす,"to lose / đánh mất, làm mất
大切な書類をなくして、部長にひどく𠮟られた。
Tôi làm mất giấy tờ quan trọng, bị trưởng phòng mắng thậm tệ
+（～が）なくなる： to go missing / mất"
借金,"しゃっきん「TÁ KIM」 loan / sự vay tiền , tiền nợ
親に借金をしたが、まだ半分も返していない。
Tôi vay tiền của bố mẹ nhưng vẫn chưa trả được 1 nửa"
ずるい,"dishonest, sly / gian dối, khôn lỏi
彼はずるい人だから、信じないほうがいい。
Anh ta là 1 người gian dối, vì vậy ko nên tin"
倒れる,"たおれる「ĐẢO」 to fall over , to collapse / đổ, đổ bệnh
①地震でビルが倒れた。
②仕事のしすぎで、倒れてしまった。
＋（～を）倒す： to knock over / làm đổ"
転ぶ,"ころぶ「CHUYỂN」 to trip , to fall / bị ngã
雪の日に転んで、足の骨を折った。
Vào hôm tuyết rơi, tôi bị ngã gãy xương sườn"
つぶれる,"（会社が）つぶれる / to go out of bussiness / cty bị phá sản, bị dập
①箱を落として、ケーキがつぶれてしまった。
②友達の会社がつぶれたそうだ。
1. Tôi đánh rơi hộp khiến bánh gato bị dập
2.Cty của bạn tôi nghe nói bị phá sản
＝②倒産：とうさん
＋（～を）つぶす： to ruin, to crush / đập, dập nát, phá"
次々,"つぎつぎ「と」「THỨ」 one by one, one after another / liên tiếp
会社で、次々と問題が発生した。
Trong cty phát sinh nhiều vấn đề liên tiếp"
停電,"ていでん「ĐÌNH ĐIỆN」  blackout / sự mất điện, cúp điện
地域で停電があり、2時間も回復しなかった。
Tại khu vực động đất sẽ mất điện và không được phục hồi trong vòng 2 tiếng"
断水,"だんすい「ĐOẠN THỦY」 cut off of water supply / sự mất nước, cúp nước
この地域は地震で断水した。
Khu vực này bị mất nước do động đất "
ゆれる,"to shake, to quake / rung lắc
このマンションは、地震のとき、けっこうゆれる。
Tòa nhà chung cư này bị rung lắc khá mạnh khi động đất"
ぐらぐら,"unsteadily, faltering / bần bật
地震で家具がぐらぐら揺れた。
Đồ đạc tron nhà rung bần bật vì động đất"
非常口,"ひじょうぐち「PHI THƯỜNG KHẨU」 emergency exit / lối thoát hiểm
非常口は必ず確認しておきましょう。
Chúng ta nhất định phải kiểm tra sẵn xem lối thoát ở đâu
＋非常時：ひじょうじ：(in) case of emergency: khi khẩn cấp"
