ちらかる,"bừa bộn, bầy bừa
弟の部屋に、おもちゃがちらかっている。Căn phòng của em trai đồ chơi bày lung tung"
片づける,"かたづける「PHIẾN」 dọn dẹp
母親「今すぐ部屋を片付けなさい。」 Bây giờ ngay lập tức dọn phòng 
子供「ゲームを終わったら、やるよ。」 Game xong con sẽ dọn"
清潔,"せいけつ「THANH KHIẾT」 sạch sẽ
家の中は、いつも清潔にしておきたい。Tôi muốn lúc nào trong nhà cũng sạch sẽ
<>不潔：ふけつ：không sạch sẽ"
掃く,"はく「TẢO」 quét, quét dọn
毎日、家の前を掃いている。 Mỗi ngày quét trước nhà"
ほうき,"chổi
ほうきで玄関をはく Tôi quét chỗ cửa vào nhà bằng chổi"
ちりとり,"cái hốt rác
はいたごみを、ちりとりに集める. Thu rác đã quét vào cái hốt rác"
掃除機,"そうじき「TẢO TRỪ KI」 máy hút bụi
うちの掃除機は、音がとても静かだ。 Máy hút bụi nhà tôi, tiếng rất êm"
ふく,"lau
食事前に、テーブルをきれいにふく。 Trước bữa ăn, tôi lau bàn sạch sẽ"
ぞうきん,"giẻ lau
古いタオルでぞうきんを作った。 Tôi làm giẻ lau bằng khăn mặt cũ"
バケツ,"Cái Xô
もう少し大きなバケツは、ありませんか。 Có cái xô nào lơn hơn 1 chút không"
しぼる,"vắt
ぞうきんを、よくしぼってください。 Hãy vắt kỹ giẻ lau"
こぼす,"làm đổ
バケツの水をこぼしてしまった。 Tôi làm đổ mất nước trong xô"
洗剤,"せんざい「TẨY TỄ」 bột giặt, nước rửa
お風呂の掃除には、どんな洗剤がいいですか。 Để rửa bồn tắm thì nước rửa nào tốt?"
かび,"nấm mốc
お風呂のかびをとる. Tẩy mốc bồn tắm"
ほこり,"bụi
窓を開けると、部屋にほこりが入る。 Hễ mở cửa sổ là bụi vào trong phòng"
みがく,"cọ, đánh cọ
かがみを、きれいにみがく. Đánh cọ sạch gương"
ブラシ,"bàn chải
ブラシで、お風呂を洗う。Rửa bồn tắm bằng bàn chải"
あわ,"bọt
このせっけんは、あわがよく出る。Xà phòng này ra nhiều bọt"
臭う,"におう「XÚ」bốc mùi, ám mùi
バケツの中の生ごみが臭う。Rác hữu cơ trong thùng rác bốc mùi
＋臭う：におう: bốc mùi, ám mùi
＋匂い：におい: mùi thơm"
洗濯物,"せんたくもの「TẨY TRẠC VẬT」đồ giặt
毎日、洗濯物が多い。Mỗi ngày, đồ giặt nhiều"
汚れ,"よごれ「Ô」bẩn, vết bẩn
この洗剤は、汚れがよく落ちる。Bột giặt này đánh rơi vết bẩn
＋汚れる：bị bẩn"
干す,"ほす「KIỀN」 phơi, hong khô
天気がいいので、洗濯物を外に干そう。Trời nắng nên tôi định phơi khô đồ bên ngoài"
乾燥,"かんそう「KIỀN TÁO」 sấy khô
厚いバスタオルは、乾燥機で乾燥させる。Sấy khô khăn tắm dày bằng máy sấy khô"
たたむ,"Gấp (giấy,áo)
息子は自分で洗濯物をたたむ。Con trai tôi tự gấp đồ giặt"
アイロン,"bàn là, bản ủi
娘はアイロンをかけるのが上手だ。Coi gái tôi là ủi quần áo giỏi"
敷く,"しく「PHU」 trải (chiếu)
畳の部屋に、ふとんを敷いて寝ている。Tôi trải điệm futon ra phòng chiều để ngủ"
育児,"いくじ「DỤC NHI」 nuôi con
働きながら、育児をするのは大変だ。Vừa làm việc vừa nuôi con thì vất vả
＝子育て：こそだて：nuôi con"
起こす,"（人を）おこす: 「KHỞI」đánh thức
毎朝6時に、子供を起こす。Hằng sáng tôi đánh thức con dậy lúc 6 giờ"
糸,"いと「MỊCH」 sợi chỉ
黒い糸でボタンをつけた。 Tôi vá nút sáo bằng sợi chỉ đen"
針,"はり「CHÂM」 Kim
針に糸を通すのは、とても難しい。Xâu chỉ vào kim rất khó"
生ごみ,"なまごみ「SANH」 Rác hữu cơ
夏は、生ごみがすぐに臭う。 Màu hè, rác hữu cơ nhanh chóng bốc mùi"
空き缶,"あきかん「KHÔNG PHỮU」 Vỏ lon rỗng
水曜日は、空き缶を捨てる日だ。 Ngày thứ tư là ngày vứt vỏ lon"
出す,"（ごみを）だす「XUẤT」 vứt (rác)
決められた日に、ごみを出す。 Vứt rác vào ngày qui định"
